Logging event: Internal | System Time 1520479454.56 | Logical Clock 1 
Logging event: Receive | System Time 1520479454.73 | Logical Clock 2 
Logging event: Internal | System Time 1520479454.9 | Logical Clock 3 
Logging event: Receive | System Time 1520479455.07 | Logical Clock 4 
Logging event: Internal | System Time 1520479455.24 | Logical Clock 5 
Logging event: Receive | System Time 1520479455.41 | Logical Clock 6 
Logging event: Internal | System Time 1520479455.58 | Logical Clock 7 
Logging event: Receive | System Time 1520479455.75 | Logical Clock 8 
Logging event: Send to Machine 2 | System Time 1520479455.92 | Logical Clock 9 
Logging event: Internal | System Time 1520479456.09 | Logical Clock 10 
Logging event: Send to Machine 2 | System Time 1520479456.26 | Logical Clock 11 
Logging event: Receive | System Time 1520479456.43 | Logical Clock 12 
Logging event: Internal | System Time 1520479456.61 | Logical Clock 13 
Logging event: Receive | System Time 1520479456.78 | Logical Clock 14 
Logging event: Send to Both Machines | System Time 1520479456.95 | Logical Clock 15 
Logging event: Send to Both Machines | System Time 1520479457.12 | Logical Clock 16 
Logging event: Internal | System Time 1520479457.29 | Logical Clock 17 
Logging event: Receive | System Time 1520479457.47 | Logical Clock 18 
Logging event: Internal | System Time 1520479457.64 | Logical Clock 19 
Logging event: Receive | System Time 1520479457.81 | Logical Clock 20 
Logging event: Internal | System Time 1520479457.98 | Logical Clock 21 
Logging event: Receive | System Time 1520479458.15 | Logical Clock 22 
Logging event: Receive | System Time 1520479458.32 | Logical Clock 23 
Logging event: Internal | System Time 1520479458.49 | Logical Clock 24 
Logging event: Receive | System Time 1520479458.67 | Logical Clock 25 
Logging event: Internal | System Time 1520479458.84 | Logical Clock 26 
Logging event: Receive | System Time 1520479459.02 | Logical Clock 27 
Logging event: Receive | System Time 1520479459.18 | Logical Clock 28 
Logging event: Receive | System Time 1520479459.36 | Logical Clock 29 
Logging event: Receive | System Time 1520479459.53 | Logical Clock 30 
Logging event: Internal | System Time 1520479459.69 | Logical Clock 31 
Logging event: Internal | System Time 1520479459.86 | Logical Clock 32 
Logging event: Receive | System Time 1520479460.03 | Logical Clock 33 
Logging event: Receive | System Time 1520479460.2 | Logical Clock 34 
Logging event: Receive | System Time 1520479460.37 | Logical Clock 35 
Logging event: Receive | System Time 1520479460.54 | Logical Clock 36 
Logging event: Receive | System Time 1520479460.71 | Logical Clock 37 
Logging event: Send to Machine 2 | System Time 1520479460.88 | Logical Clock 38 
Logging event: Send to Machine 0 | System Time 1520479461.05 | Logical Clock 39 
Logging event: Send to Both Machines | System Time 1520479461.23 | Logical Clock 40 
Logging event: Internal | System Time 1520479461.4 | Logical Clock 41 
Logging event: Receive | System Time 1520479461.57 | Logical Clock 42 
Logging event: Receive | System Time 1520479461.74 | Logical Clock 43 
Logging event: Receive | System Time 1520479461.91 | Logical Clock 44 
Logging event: Receive | System Time 1520479462.08 | Logical Clock 45 
Logging event: Receive | System Time 1520479462.24 | Logical Clock 46 
Logging event: Send to Both Machines | System Time 1520479462.41 | Logical Clock 47 
Logging event: Internal | System Time 1520479462.59 | Logical Clock 48 
Logging event: Receive | System Time 1520479462.75 | Logical Clock 49 
Logging event: Internal | System Time 1520479462.93 | Logical Clock 50 
Logging event: Receive | System Time 1520479463.1 | Logical Clock 51 
Logging event: Internal | System Time 1520479463.27 | Logical Clock 52 
Logging event: Receive | System Time 1520479463.44 | Logical Clock 53 
Logging event: Receive | System Time 1520479463.61 | Logical Clock 54 
Logging event: Receive | System Time 1520479463.78 | Logical Clock 55 
Logging event: Receive | System Time 1520479463.95 | Logical Clock 56 
Logging event: Receive | System Time 1520479464.12 | Logical Clock 57 
Logging event: Internal | System Time 1520479464.29 | Logical Clock 58 
Logging event: Receive | System Time 1520479464.46 | Logical Clock 59 
Logging event: Receive | System Time 1520479464.63 | Logical Clock 60 
Logging event: Receive | System Time 1520479464.8 | Logical Clock 61 
Logging event: Send to Both Machines | System Time 1520479464.97 | Logical Clock 62 
Logging event: Send to Both Machines | System Time 1520479465.14 | Logical Clock 63 
Logging event: Send to Both Machines | System Time 1520479465.31 | Logical Clock 64 
Logging event: Internal | System Time 1520479465.48 | Logical Clock 65 
Logging event: Internal | System Time 1520479465.65 | Logical Clock 66 
Logging event: Internal | System Time 1520479465.82 | Logical Clock 67 
Logging event: Send to Both Machines | System Time 1520479465.98 | Logical Clock 68 
Logging event: Send to Machine 2 | System Time 1520479466.16 | Logical Clock 69 
Logging event: Internal | System Time 1520479466.33 | Logical Clock 70 
Logging event: Send to Both Machines | System Time 1520479466.5 | Logical Clock 71 
Logging event: Internal | System Time 1520479466.67 | Logical Clock 72 
Logging event: Receive | System Time 1520479466.84 | Logical Clock 73 
Logging event: Receive | System Time 1520479467.01 | Logical Clock 74 
Logging event: Receive | System Time 1520479467.18 | Logical Clock 75 
